Date time,Temperature,Wind Speed,Visibility,Cloud Cover,Relative Humidity,Conditions
1/11/2020 20:00,27,14.8,10,25,83.67,Clear
1/11/2020 21:00,27,10.4,10,27,78.78,Partially cloudy
1/11/2020 22:00,26.9,10.1,10.9,32,78.91,Partially cloudy
1/11/2020 23:00,27,9.7,10,27,78.78,Partially cloudy
1/12/2020 0:00,26.1,9.4,10,30,83.57,Partially cloudy
1/12/2020 1:00,26,5.4,10,14.8,83.56,Clear
1/12/2020 2:00,26,5.4,10,27,83.56,Partially cloudy
1/12/2020 3:00,26,4.3,10,27,83.56,Partially cloudy
1/12/2020 4:00,25,1.8,10.9,32.9,90.78,Partially cloudy
1/12/2020 5:00,24.6,3.6,9.2,35.2,96.5,Partially cloudy
1/12/2020 6:00,24.4,3.6,7,51.4,97.59,Partially cloudy
1/12/2020 7:00,25.3,2.5,5.7,55,94.1,Partially cloudy
1/12/2020 8:00,26.4,2.5,4.4,66.3,86.65,Partially cloudy
1/12/2020 9:00,27.4,4.3,5.4,88.8,81.7,Overcast
1/12/2020 10:00,28.9,4.6,7.7,88.9,72.7,Overcast
1/12/2020 11:00,30.6,8.6,8,88.8,60.19,Overcast
1/12/2020 12:00,31,7,8,88.8,60.97,Overcast
1/12/2020 13:00,31.8,6.4,9.9,54.7,53.07,Partially cloudy
1/12/2020 14:00,31,10.1,10,50,56.72,Partially cloudy
1/12/2020 15:00,30.6,5.4,10,50,63.24,Partially cloudy
1/12/2020 16:00,28.8,9.8,9.3,54.7,71.24,Partially cloudy
1/12/2020 17:00,27.6,17.3,8,50,80.81,Partially cloudy
1/12/2020 18:00,27,14,8,50,76.86,Partially cloudy
1/12/2020 19:00,26.9,12.1,10.9,52.8,74.17,Rain
1/12/2020 20:00,27,10.1,10,50,69.73,Partially cloudy
1/12/2020 21:00,26.6,8.6,10,50,71.42,Partially cloudy
1/12/2020 22:00,25.9,4.6,10.9,48.1,78.68,Partially cloudy
1/12/2020 23:00,25.6,4.3,10,35.2,80.56,Partially cloudy
1/13/2020 0:00,26,8.6,9.2,35.2,78.64,Partially cloudy
1/13/2020 1:00,25.5,6.7,9.1,34.7,81.05,Partially cloudy
1/13/2020 2:00,24,3.6,8,35.2,88.6,Partially cloudy
1/13/2020 3:00,24,6.7,8,35.2,88.6,Partially cloudy
1/13/2020 4:00,23.6,7.7,8.2,32.8,90.89,Partially cloudy
1/13/2020 5:00,23,10.4,5.6,35.2,100,Partially cloudy
1/13/2020 6:00,23,6.7,4.2,27,97.57,Partially cloudy
1/13/2020 7:00,23.9,14.4,9.1,32,77.29,Partially cloudy
1/13/2020 8:00,25.4,11.9,10,27,67.7,Partially cloudy
1/13/2020 9:00,26.8,9,10,27,62.29,Partially cloudy
1/13/2020 10:00,29.3,10.8,10.9,24.5,51.35,Clear
1/13/2020 11:00,30.8,10.4,10,27,45.23,Partially cloudy
1/13/2020 12:00,32.4,9.4,10,27,41.32,Partially cloudy
1/13/2020 13:00,32.8,10.1,10.9,38.9,34.87,Partially cloudy
1/13/2020 14:00,33.4,8.3,10,27,33.98,Partially cloudy
1/13/2020 15:00,34,6,10,27,30.02,Partially cloudy
1/13/2020 16:00,33.4,9,10.9,25.4,30.68,Partially cloudy
1/13/2020 17:00,30.6,14,9.2,27,50.02,Partially cloudy
1/13/2020 18:00,28.6,16.9,8,35.2,58.25,Partially cloudy
1/13/2020 19:00,26.9,11.1,10.9,32.8,67.92,Partially cloudy
1/13/2020 20:00,27,10.1,10,35.2,69.73,Partially cloudy
1/13/2020 21:00,26,7.6,10,35.2,78.64,Partially cloudy
1/13/2020 22:00,25.9,3.6,10.9,25.4,78.85,Partially cloudy
1/13/2020 23:00,25.1,13,10,30,78.5,Partially cloudy
1/14/2020 0:00,24.6,4.7,10,27,80.42,Partially cloudy
1/14/2020 1:00,24.6,3.6,10,27,80.42,Partially cloudy
1/14/2020 2:00,23.4,3.3,10,27,91.82,Partially cloudy
1/14/2020 3:00,24,7.6,10,25,88.6,Clear
1/14/2020 4:00,23,3.6,6,25,94.1,Clear
1/14/2020 5:00,23,3.6,5,25,94.1,Clear
1/14/2020 6:00,23,7.6,7.4,27,89.54,Partially cloudy
1/14/2020 7:00,23,9.4,7.6,28.2,82.2,Partially cloudy
1/14/2020 8:00,24.4,4.7,8,27,71.86,Partially cloudy
1/14/2020 9:00,26.8,5.2,8,27,60.73,Partially cloudy
1/14/2020 10:00,28.3,8.3,9.1,24.5,53.24,Clear
1/14/2020 11:00,30.6,9.4,8,0,45.8,Clear
1/14/2020 12:00,31.4,3.3,8,0,42.12,Clear
1/14/2020 13:00,32.7,9.2,9.1,27.3,36.76,Partially cloudy
1/14/2020 14:00,33,7.8,8,27,34.28,Partially cloudy
1/14/2020 15:00,33.6,5.4,8,27,31.92,Partially cloudy
1/14/2020 16:00,29.9,18.2,9.1,25.4,55.22,Partially cloudy
1/14/2020 17:00,29,15.5,8,27,52.11,Partially cloudy
1/14/2020 18:00,28,13.3,8,27,49.35,Partially cloudy
1/14/2020 19:00,27.9,12.4,10.9,25.4,52.1,Partially cloudy
1/14/2020 20:00,27,17.3,10,27,54.33,Partially cloudy
1/14/2020 21:00,26.6,19.2,10,27,57.1,Partially cloudy
1/14/2020 22:00,25.9,20.2,10.9,25.4,63.81,Partially cloudy
1/14/2020 23:00,25,17.6,10,27,69.35,Partially cloudy
1/15/2020 0:00,25,14.4,10,27,69.35,Partially cloudy
1/15/2020 1:00,24.5,13,10.9,25.4,73.67,Partially cloudy
1/15/2020 2:00,24,11.2,10,27,78.35,Partially cloudy
1/15/2020 3:00,22.6,7,10,35.2,85.3,Partially cloudy
1/15/2020 4:00,22.1,7.5,10.9,31.9,88.19,Partially cloudy
1/15/2020 5:00,22,6.3,10,35.2,88.44,Partially cloudy
1/15/2020 6:00,21.6,8.6,9.2,35.2,90.66,Partially cloudy
1/15/2020 7:00,22.7,10.4,8.8,27.3,84.51,Partially cloudy
1/15/2020 8:00,24.8,10.8,7.4,14.8,79.38,Clear
1/15/2020 9:00,27.8,10.1,8,0,57.27,Clear
1/15/2020 10:00,30.2,12.2,9.1,0,45.72,Clear
1/15/2020 11:00,32,10.4,8,0,37.23,Clear
1/15/2020 12:00,33,5.9,8,27,33.87,Partially cloudy
1/15/2020 13:00,33.4,10.4,9.5,27.3,31.7,Partially cloudy
1/15/2020 14:00,34,6.3,10,27,30.02,Partially cloudy
1/15/2020 15:00,34,2.5,10,27,30.82,Partially cloudy
1/15/2020 16:00,31.1,18.4,10.9,24.5,45.79,Clear
1/15/2020 17:00,30.6,13,9.2,14.8,46.99,Clear
